camera,frame_index,grab_start_monotonic_ns,grab_end_monotonic_ns,capture_mid_monotonic_ns,host_utc,device_frame_id,device_timestamp,width,height
daheng_sn_FDE23080341,0,182418812000000,182418828000000,182418820000000,2026-09-05T07:34:17.596622+00:00,0,16767298194525,1920,1200
daheng_sn_FDE23080341,1,182418906000000,182418906000000,182418906000000,2026-09-05T07:34:17.646611+00:00,1,16767305879325,1920,1200
daheng_sn_FDE23080341,2,182419000000000,182419000000000,182419000000000,2026-09-05T07:34:17.740086+00:00,2,16767313564125,1920,1200
daheng_sn_FDE23080341,3,182419093000000,182419093000000,182419093000000,2026-09-05T07:34:17.834674+00:00,3,16767321248925,1920,1200
directshow_index_1,0,182418921000000,182419187000000,182419054000000,2026-09-05T07:34:17.917200+00:00,,,640,480
daheng_sn_FDE23080341,4,182419187000000,182419187000000,182419187000000,2026-09-05T07:34:17.930912+00:00,4,16767328933725,1920,1200
directshow_index_1,1,182419187000000,182419218000000,182419202500000,2026-09-05T07:34:17.947457+00:00,,,640,480
directshow_index_1,2,182419281000000,182419281000000,182419281000000,2026-09-05T07:34:18.004218+00:00,,,640,480
daheng_sn_FDE23080341,5,182419281000000,182419281000000,182419281000000,2026-09-05T07:34:18.019226+00:00,5,16767336618525,1920,1200
directshow_index_1,3,182419375000000,182419375000000,182419375000000,2026-09-05T07:34:18.095045+00:00,,,640,480
daheng_sn_FDE23080341,6,182419375000000,182419375000000,182419375000000,2026-09-05T07:34:18.111562+00:00,6,16767344303325,1920,1200
directshow_index_1,4,182419468000000,182419468000000,182419468000000,2026-09-05T07:34:18.192396+00:00,,,640,480
daheng_sn_FDE23080341,7,182419468000000,182419468000000,182419468000000,2026-09-05T07:34:18.205070+00:00,7,16767351988125,1920,1200
directshow_index_1,5,182419562000000,182419562000000,182419562000000,2026-09-05T07:34:18.282177+00:00,,,640,480
daheng_sn_FDE23080341,8,182419562000000,182419562000000,182419562000000,2026-09-05T07:34:18.311947+00:00,8,16767359672925,1920,1200
directshow_index_1,6,182419656000000,182419656000000,182419656000000,2026-09-05T07:34:18.379886+00:00,,,640,480
daheng_sn_FDE23080341,9,182419656000000,182419656000000,182419656000000,2026-09-05T07:34:18.399843+00:00,9,16767367357725,1920,1200
directshow_index_1,7,182419750000000,182419750000000,182419750000000,2026-09-05T07:34:18.471179+00:00,,,640,480
daheng_sn_FDE23080341,10,182419750000000,182419750000000,182419750000000,2026-09-05T07:34:18.486700+00:00,10,16767375042525,1920,1200
directshow_index_1,8,182419843000000,182419843000000,182419843000000,2026-09-05T07:34:18.568422+00:00,,,640,480
daheng_sn_FDE23080341,11,182419843000000,182419843000000,182419843000000,2026-09-05T07:34:18.578937+00:00,11,16767382727325,1920,1200
directshow_index_1,9,182419937000000,182419937000000,182419937000000,2026-09-05T07:34:18.661015+00:00,,,640,480
daheng_sn_FDE23080341,12,182419937000000,182419937000000,182419937000000,2026-09-05T07:34:18.675137+00:00,12,16767390412125,1920,1200
directshow_index_1,10,182420031000000,182420031000000,182420031000000,2026-09-05T07:34:18.752513+00:00,,,640,480
daheng_sn_FDE23080341,13,182420031000000,182420031000000,182420031000000,2026-09-05T07:34:18.767529+00:00,23,16767474944925,1920,1200
directshow_index_1,11,182420125000000,182420125000000,182420125000000,2026-09-05T07:34:18.849321+00:00,,,640,480
daheng_sn_FDE23080341,14,182420125000000,182420125000000,182420125000000,2026-09-05T07:34:18.867750+00:00,35,16767567162525,1920,1200
directshow_index_1,12,182420218000000,182420218000000,182420218000000,2026-09-05T07:34:18.938787+00:00,,,640,480
daheng_sn_FDE23080341,15,182420218000000,182420218000000,182420218000000,2026-09-05T07:34:18.959795+00:00,47,16767659380125,1920,1200
directshow_index_1,13,182420312000000,182420312000000,182420312000000,2026-09-05T07:34:19.033856+00:00,,,640,480
daheng_sn_FDE23080341,16,182420312000000,182420312000000,182420312000000,2026-09-05T07:34:19.056013+00:00,59,16767751597725,1920,1200
directshow_index_1,14,182420406000000,182420406000000,182420406000000,2026-09-05T07:34:19.130801+00:00,,,640,480
daheng_sn_FDE23080341,17,182420406000000,182420406000000,182420406000000,2026-09-05T07:34:19.143110+00:00,71,16767843815325,1920,1200
directshow_index_1,15,182420500000000,182420500000000,182420500000000,2026-09-05T07:34:19.225316+00:00,,,640,480
daheng_sn_FDE23080341,18,182420500000000,182420500000000,182420500000000,2026-09-05T07:34:19.258806+00:00,83,16767936032925,1920,1200
directshow_index_1,16,182420593000000,182420593000000,182420593000000,2026-09-05T07:34:19.320424+00:00,,,640,480
daheng_sn_FDE23080341,19,182420593000000,182420593000000,182420593000000,2026-09-05T07:34:19.356062+00:00,96,16768035935325,1920,1200
directshow_index_1,17,182420687000000,182420687000000,182420687000000,2026-09-05T07:34:19.412193+00:00,,,640,480
daheng_sn_FDE23080341,20,182420687000000,182420687000000,182420687000000,2026-09-05T07:34:19.441191+00:00,109,16768135837725,1920,1200
directshow_index_1,18,182420781000000,182420781000000,182420781000000,2026-09-05T07:34:19.507949+00:00,,,640,480
daheng_sn_FDE23080341,21,182420781000000,182420781000000,182420781000000,2026-09-05T07:34:19.530883+00:00,120,16768220370525,1920,1200
directshow_index_1,19,182420875000000,182420875000000,182420875000000,2026-09-05T07:34:19.598722+00:00,,,640,480
daheng_sn_FDE23080341,22,182420875000000,182420875000000,182420875000000,2026-09-05T07:34:19.619721+00:00,132,16768312588125,1920,1200
directshow_index_1,20,182420968000000,182420968000000,182420968000000,2026-09-05T07:34:19.691561+00:00,,,640,480
daheng_sn_FDE23080341,23,182420968000000,182420968000000,182420968000000,2026-09-05T07:34:19.715168+00:00,145,16768412490525,1920,1200
directshow_index_1,21,182421062000000,182421062000000,182421062000000,2026-09-05T07:34:19.791164+00:00,,,640,480
daheng_sn_FDE23080341,24,182421062000000,182421062000000,182421062000000,2026-09-05T07:34:19.808004+00:00,157,16768504708125,1920,1200
directshow_index_1,22,182421156000000,182421156000000,182421156000000,2026-09-05T07:34:19.875828+00:00,,,640,480
daheng_sn_FDE23080341,25,182421156000000,182421156000000,182421156000000,2026-09-05T07:34:19.898347+00:00,170,16768604610525,1920,1200
directshow_index_1,23,182421250000000,182421250000000,182421250000000,2026-09-05T07:34:19.975826+00:00,,,640,480
daheng_sn_FDE23080341,26,182421250000000,182421250000000,182421250000000,2026-09-05T07:34:19.995839+00:00,182,16768696828125,1920,1200
directshow_index_1,24,182421343000000,182421343000000,182421343000000,2026-09-05T07:34:20.071406+00:00,,,640,480
daheng_sn_FDE23080341,27,182421343000000,182421343000000,182421343000000,2026-09-05T07:34:20.087409+00:00,194,16768789045725,1920,1200
directshow_index_1,25,182421437000000,182421437000000,182421437000000,2026-09-05T07:34:20.162261+00:00,,,640,480
daheng_sn_FDE23080341,28,182421437000000,182421437000000,182421437000000,2026-09-05T07:34:20.181531+00:00,205,16768873578525,1920,1200
directshow_index_1,26,182421531000000,182421531000000,182421531000000,2026-09-05T07:34:20.255291+00:00,,,640,480
daheng_sn_FDE23080341,29,182421531000000,182421531000000,182421531000000,2026-09-05T07:34:20.271338+00:00,219,16768981165725,1920,1200
directshow_index_1,27,182421625000000,182421625000000,182421625000000,2026-09-05T07:34:20.347639+00:00,,,640,480
daheng_sn_FDE23080341,30,182421625000000,182421625000000,182421625000000,2026-09-05T07:34:20.370676+00:00,230,16769065698525,1920,1200
directshow_index_1,28,182421718000000,182421718000000,182421718000000,2026-09-05T07:34:20.445488+00:00,,,640,480
daheng_sn_FDE23080341,31,182421718000000,182421718000000,182421718000000,2026-09-05T07:34:20.461500+00:00,243,16769165600925,1920,1200
directshow_index_1,29,182421812000000,182421812000000,182421812000000,2026-09-05T07:34:20.536487+00:00,,,640,480
daheng_sn_FDE23080341,32,182421812000000,182421812000000,182421812000000,2026-09-05T07:34:20.560616+00:00,255,16769257818525,1920,1200
directshow_index_1,30,182421906000000,182421906000000,182421906000000,2026-09-05T07:34:20.636354+00:00,,,640,480
daheng_sn_FDE23080341,33,182421906000000,182421906000000,182421906000000,2026-09-05T07:34:20.654301+00:00,266,16769342351325,1920,1200
directshow_index_1,31,182422000000000,182422000000000,182422000000000,2026-09-05T07:34:20.722511+00:00,,,640,480
daheng_sn_FDE23080341,34,182422000000000,182422000000000,182422000000000,2026-09-05T07:34:20.749653+00:00,279,16769442253725,1920,1200
directshow_index_1,32,182422093000000,182422093000000,182422093000000,2026-09-05T07:34:20.821976+00:00,,,640,480
daheng_sn_FDE23080341,35,182422093000000,182422093000000,182422093000000,2026-09-05T07:34:20.838974+00:00,291,16769534471325,1920,1200
directshow_index_1,33,182422187000000,182422187000000,182422187000000,2026-09-05T07:34:20.913757+00:00,,,640,480
